City,Country,Airport,Begin,End
Harstad/Narvik,Norway,"Harstad/Narvik Airport, Evenes",1975*,—
Hasvik,Norway,Hasvik Airport,1990,—
Kirkenes,Norway,"Kirkenes Airport, Høybuktmoen",1974,—
Kristiansand,Norway,"Kristiansand Airport, Kjevik",1991*,—
Kristiansund,Norway,"Kristiansund Airport, Kvernberget",1971*,—
Lakselv,Norway,"Lakselv Airport, Banak",1974,—
Leknes,Norway,Leknes Airport,1972,—
Lerwick,United Kingdom,Sumburgh Airport,1995*,2005
London,United Kingdom,London Stansted Airport,1989,1992
Mehamn,Norway,Mehamn Airport,1974,—
Mo i Rana,Norway,"Mo i Rana Airport, Røssvoll",1968,—
