Competition,Stage,Opponent,Result,Scorers,Filler_1,Filler_2
2007 FIFA World Cup,First stage,Ghana Norway Canada,4–11–12–2,"de Vanna 2, Garriock, Walshde VannaMcCallum, Salisbury",EWepXWH,iImKVX
2007 FIFA World Cup,Quarterfinals,Brazil,2–3,"Colthorpe, de Vanna",FuyAhv,kNDPdx
2008 AFC Asian Cup,First stage,Chinese Taipei South Korea Japan,4–02–0,"Garriock 2, Tristram, de VannaPerry, de VannaPolkinghorne",ysntejsm,sixpe
2008 AFC Asian Cup,Semifinals,North Korea,0–3,,pOciomx,HuUMFeY
2008 AFC Asian Cup,Third place,Japan,0–3,,ygmbqffz,IAeZPou
2010 AFC Asian Cup,First stage,Vietnam South Korea China PR,2–03–10–1,"Khamis, LedbrookCarroll, Kerr, de Vanna0",azcKyrng,KWbWut
2010 AFC Asian Cup,Semifinals,Japan,1–0,Gill,PWlTIArS,FPSgJtka
2010 AFC Asian Cup,Final,North Korea,1–1 (PSO: 5–4),"Kerr — PSO:  Shipard, Ledbrook, Gill, Garriock, Simon",HzpDbL,aplSRoic
2011 FIFA World Cup,First stage,Brazil Equatorial Guinea Norway,0–13–22–1,"0van Egmond, Khamis, de VannaSimon 2",wvdBWMG,izjeZT
2011 FIFA World Cup,Quarterfinals,Sweden,1–3,Perry,pBtba,PVuoCW
2012 Summer OlympicsAFC qualification,Final round,North Korea Thailand Japan China PR South Korea,0–15–10–11–02–1,"0Heyman 2, Butt, van Egmond, Simon0van EgmondButt, de Vanna",WYBGwTr,vyxybVqO
2014 AFC Asian Cup,First stage,Japan Jordan Vietnam,TBDTBDTBD,,UfAgyvw,FdqZMhXs
