Competition,Stage,Opponent,Result,Scorers,Filler_1,Filler_2
1975 AFC Championship,First stage,Thailand Singapore,2–33–0,,bFLMPTA,tZaoEXWy
1975 AFC Championship,Semifinals,New Zealand,2–3,,AHqJlG,plvVFO
1975 AFC Championship,Third place,Malaysia,5–0,,XvvJNGZx,RzMHA
1983 OFC Championship,First stage,New Zealand New Caledonia Fiji,0–05–013–0,"0Dolan 2, Heydon, Porter, WardellIserief 3, Monteath 3, Heydon 3, Wardell 3, Millman",hfQcrkUE,DwqCCKc
1983 OFC Championship,Final,New Zealand,2–3 (AET),"Brentnall, Dolan",llOhU,WoCIPF
1986 OFC Championship,First stage,New Zealand Chinese Taipei New Zealand B,1–00–12–1,"Iserief0Mateljan, Monteath",paTxTY,fqmJpul
1986 OFC Championship,Final,Chinese Taipei,1–4,Martin,NmkpKQD,UewkWe
1988 FIFA Tournament,First stage,Brazil Thailand Norway,1–03–00–3,,EqNhYiJC,zanyL
1988 FIFA Tournament,Quarterfinals,China PR,0–7,,uFHygJ,sVfhaqok
1989 OFC Championship,First stage,New Zealand Australia B Papua New Guinea Taiwan,0–20–06–01–4,"00Riddington 3, Vinson 2, ?Riddington",MbbWxqR,TtIHhTy
1989 OFC Championship,Third place,Australia B,not played,,RZkmk,ynPwheTe
1991 OFC Championship,Round robin,New Zealand Papua New Guinea,0–1 1–012–0 8–0,,PxFlwcRs,vsgolHp
1995 OFC Championship,Round robin,New Zealand Papua New Guinea,1–2 1–07–0 4–0,,pZUUufS,pzHPRrf
