Competition,Stage,Opponent,Result,Scorers
1995 FIFA World Cup,First stage,Denmark China PR United States,0–52–41–4,"0Hughes, IannottaCasagrande"
1998 OFC Championship,First stage,American Samoa Papua New Guinea,21–08–0,
1998 OFC Championship,Semifinals,Fiji,17–0,
1998 OFC Championship,Final,New Zealand,3–1,
1999 FIFA World Cup,First stage,Ghana Sweden China PR,1–11–31–3,MurrayMurraySalisbury
2000 Summer Olympics,First stage,Germany Sweden Brazil,0–31–11–2,0SalisburyHughes
2003 OFC Championship,Round robin,Samoa Cook Islands Papua New Guinea New Zealand,19–011–013–02–0,"Golebiowski 4, Mann 4, Peters 4, Slatyer 2, Small, Davies, Garriock, WainwrightAlagich 2, Crawford 2, Wilson 2, Davies, Hohnke, Karp, SmallMann 4, Garriock 3, Golebiowski 2, Salisbury 2, Alagich, PetersPeters, Small"
2003 FIFA World Cup,First stage,Russia China PR Ghana,1–21–11–2,GolebiowskiGarriockGarriock
2004 Summer Olympics,First stage,Brazil Greece United States,0–11–01–1,0GarriockPeters
2004 Summer Olympics,Quarterfinals,Sweden,1–2,de Vanna
2006 AFC Asian Cup,First stage,South Korea Myanmar North Korea Thailand,4–02–00–05–0,"Munoz, de Vanna, Walsh + 1 o.g.Shipard, de Vanna0Burgess, Ferguson, Gill, de Vanna, Walsh"
2006 AFC Asian Cup,Semifinals,Japan,2–0,"Munoz, Peters"
2006 AFC Asian Cup,Final,China PR,2–2 (PSO: 2–4),"Munoz, Peters —  Shipard, Ferguson  McCallum, Peters"
