Title,Year,Channel,Role,Notes,Unused_1,Filler_2,Filler_3
Parkinson,2002,BBC One,Herself,"Performed \We Will Rock You\"" and \""We Are the Champions\"" with Brian May",,JUWCvfRn,GKaKYyo
Party at the Palace,2002,BBC One,Meat,"Performed \We Will Rock You\"" and \""Bohemian Rhapsody\"" with Brian May",,eBYqG,doAWJIy
Loose Women,2007,ITV,Elphaba,"Performed \The Wizard and I\""""",,oeEZsl,jQxMYT
I'd Do Anything,2008,BBC One,Herself,Mentored potential Nancys at the Apollo Victoria Theatre,,jqMfwF,UTwJBhrr
Royal Variety Performance,2008,BBC One,Herself,"Performed \Defying Gravity\"" with Brian May""",,XtDGKS,qAfFVWyq
Over the Rainbow,2010,BBC One,Herself,Mentored potential Dorothys at the Dominion Theatre,,FrddPc,PauBGqLI
Big Brother's Little Brother,2010,E4,Herself,Interview,,NcitzPaY,tgooLwtL
Tonight's the Night,2010,BBC One,Herself,"Performed \Wind Beneath My Wings\"" with contestant and \""Anthem\"" with Brian May""",,bIunz,UQotBYU
The Michael Ball Show,2010,ITV,Herself,"Interview; performed \Anthem\"" with Brian May""",,AoCIC,OQFfE
This Morning,2010,ITV,Herself,"Interview; performed \Anthem\"" with Brian May""",,IquAz,miqwPhYW
Breakfast,2010,BBC One,Herself,Interview,,YlbpaiK,GjHDrL
BBC London News,2010,BBC One,Herself,Interview with Brian May,,UgKemr,zIRItsY
