Title,Year,Channel,Role,Notes,Irrelevant_1
Foxes Live: Wild in the City,2012,Channel 4,Herself,Appeared in a short film about saving foxes with Brian May,lqOcaW2
Live with…,2012,Channel 5,Herself,Interview with Jeff Wayne,Hm6fCzl
The Wright Stuff,2012,Channel 5,Herself,Special guest panelist,W1CNTT2
ITV News London,2013,ITV,Herself,Interview about Tiger Tracks and animal conservation with Brian May,eB4pgQ
The Late Late Show,2013,RTÉ One,Herself,"Interview; performed \Life is Real\"" with Brian May""",isbNzVWB
This Morning,2013,ITV,Herself,"Interview; performed \Born Free\"" with Brian May""",EJktTU7M
The Alan Titchmarsh Show,2013,ITV,Herself,"Interview; performed \The Kissing Me Song\"" with Brian May""",aUsX1
Sunday Brunch,2013,Channel 4,Herself,Interview with Brian May,jtsJno
Big Brother's Bit on the Side,2013,Channel 5,Herself,Surprise guest panelist,irCsBQ
Pointless Celebrities,2013,BBC One,Herself,West End special,y3WuY533
Diamonds Are Forever: The Don Black Songbook,2014,BBC Four,Herself,Performed with Brian May,JQZYU
