Title,Year,Channel,Role,Notes
Proms in the Park,2010,BBC Red Button,Herself,"Performed \Dangerland\"""
The Wright Stuff,2010,Channel 5,Herself,Special guest panelist
Festival of Remembrance,2010,BBC One,Herself,"Performed \Anthem\"" with Brian May"""
Only Men Aloud – Merry Christmas,2010,S4C,Herself,"Performed \Somebody to Love\"" with Only Men Aloud"""
Breakfast,2011,BBC One,Herself,Interview with Brian May
2011 Laurence Olivier Awards,2011,BBC Red Button,Herself,"Performed \Look to the Rainbow\"" with Barry Manilow"""
The Alan Titchmarsh Show,2011,ITV,Herself,"Performed \Defying Gravity\"""""
Fern,2011,Channel 4,Herself,"Interview; performed \I Love a Butterfly\"" with Brian May"""
The Hour,2011,STV,Herself,"Interview; performed \I Love a Butterfly\"" with Brian May"""
FA Community Shield,2011,Sky Sports,Herself,Performed the British national anthem at Wembley Stadium
Sanremo Music Festival 2012,2012,Rai 1,Herself,"Performed \I (Who Have Nothing)\"" and \""We Will Rock You\"" with Brian May and Irene Fornaciari"""
The Voice UK,2012,BBC One,Herself,Auditioned for the show's first series
