Year,Film,Language,Character,Co-Star,Music,Banner
1958,Sarangadhara,Tamil,Chitrangi Devi,Sivaji Ganesan,G. Ramanathan,Minerva Pictures
1958,Nadodi Mannan,Tamil,Madhana,M. G. Ramachandran,S. M. Subbaiah Naidu,Emgeeyar Pictures
1959,Manimekalai,Tamil,Manimekalai,T. R. Mahalingam,G. Ramanathan,Shekhar Art Film
1960,Raja Bakthi,Tamil,Maharasai,"Sivaji Ganesan, Vyjayanthimala",G. Govindarajulu Naidu,Revathi Productions
1960,Raja Desingu,Tamil,Ranibhai,M. G. Ramachandran,G. Ramanathan,Krishna Pictures
1961,Batasari,Telugu,Madhavi,A. Nageswara Rao,Master Venu,Bharani Pictures
1961,Kaanal Neer,Tamil,Madhavi,A. Nageswara Rao,Master Venu,Bharani Pictures
1962,Annai,Tamil,Savithri,S. V. Ranga Rao,R. Sudharsanam,AVM Productions
1963,Kalai Arasi,Tamil,Vani & Valli,M. G. Ramachandran,K. V. Mahadevan,Sarodi Brothers
1963,Anuragam,,,,,
