Year,Film,Language,Character,Co-Star,Music,Banner,Irrelevant_1,Unused_2
1984,Mangamma Gari Manavadu,Telugu,Mangamma,,,,y3QfFaDM,
1986,Muddula Manavaraalu,Telugu,,,,,qIelJ,
1986,Kannukku Mai Ezhuthu,Tamil,,"Sujatha, Sarath Babu",Ilaiyaraaja,,f31GLqbL,
1988,Attagaru Swagatham,Telugu,,,,,nu3ha,
1990,Bamma Maata Bangaru Baata,Telugu,Bamma,,,,VzvogK,
1992,Chamanthi,Telugu,Bhuvaneswari,,,,oY97D,
1992,Peddarikam,Telugu,Adusumilli Basavapunnamma,,,,ZD9GHoc,
1992,Samrat Ashok,Telugu,,,,,ZYJW3dq,
1992,Chembaruthi,Tamil,,"Prashanth, Roja",Ilaiyaraaja,Motherland Movies,jJxUVvBf,
1998,Pelli Kanuka,Telugu,Savithramma,,,,xiqavA,
