Year,Film,Language,Character,Co-Star,Music,Banner
1954,Malaikkallan,Tamil,Poonkothai,M. G. Ramachandran,S. M. Subbaiah Naidu,Pakshiraja Studios
1954,Chakrapani,Telugu,Granddaughter,A. Nageswara Rao,P. Bhanumathi,
1955,Vipranarayana,Telugu,Devadevi,A. Nageswara Rao,S. Rajeswara Rao,Bharani Pictures
1955,Vipranarayana,Tamil,Devadevi,A. Nageswara Rao,S. Rajeswara Rao,Bharani Pictures
1955,Kalvanin Kadhali,Tamil,Kalyani,Sivaji Ganesan,G. Govindarajulu Naidu & Ghantasala,Revathi Productions
1956,Alibabavum Narpadhu Thirudargalum,Tamil,Marjina,M. G. Ramachandran,S. Dakshinamurthy,Modern Theatres
1956,Alibaba 40 Dongalu,Telugu,Marjina,M. G. Ramachandran,S. Dakshinamurthy,Modern Theatres
1956,Chintamani,Telugu,Chintamani,,,
1956,Madurai Veeran,Tamil,Princess Bommi,M. G. Ramachandran,G. Ramanathan,Krishna Pictures
1956,Rangoon Radha,Tamil,Rangam,Sivaji Ganesan,T. R. Papa,Mekala Pictures
1956,Tenali Ramakrishna,Telugu,Rangasaani,N. T. Rama Rao & A. Nageswara Rao,Viswanathan Ramamoorthy,Vikram Productions
