Year,Film,Language,Character,Co-Star,Music,Banner
1948,Raja Mukthi,Tamil,Kannika,M. K. Thyagaraja Bhagavathar,C. R. Subburaman,Narendra Pictures
1949,Laila Majnu,Telugu,Laila,A. Nageswara Rao,C. R. Subburaman,Bharani Pictures
1949,Laila Majnu,Tamil,Laila,A. Nageswara Rao,C. R. Subburaman,Bharani Pictures
1949,Nallathambi,Tamil,Pushpa,N. S. Krishnan,C. R. Subburaman,NSK Films & Uma Pictures
1949,Raksharekha,Telugu,Princess Kalavathi,A. Nageswara Rao,Ogirala Ramachandra Rao & H. R. Padmanabha Sastri,
1949,Devamanohari,Tamil,Devamanohari,C. Honnappa Bhagavathar,G. Ramanathan,Arkays Pictures
1949,Apoorva Sagodharargal,Tamil,Kanchana,M. K. Radha,S. Rajeswara Rao,Gemini Studios
1949,Apoorva Sahodaralu,Telugu,Ranjana,M. K. Radha,S. Rajeswara Rao,Gemini Studios
1949,Nishaan,Hindi,Kanchana,M. K. Radha,S. Rajeswara Rao,Gemini Studios
1949,Rathnakumar,Tamil,,P. U. Chinnappa Bhagavathar,G. Ramanathan & C. R. Subburaman,Murugan Talkies
1950,Maya Rambha,Telugu,,,,
