Year,Film,Language,Character,Co-Star,Music,Banner
1951,Malleeswari,Telugu,Malleeswari,N. T. Rama Rao,Adepalli Rama Rao & S. Rajeswara Rao,Vijaya Studios
1951,Mangala,Telugu,Mangala,,,Gemini Studios
1951,Mangala,Hindi,Mangala,,,Gemini Studios
1952,Prema,Telugu,Mothi,A. Nageswara Rao,C. R. Subburaman,Bharani Pictures
1952,Kadhal,Tamil,Mothi,A. Nageswara Rao,C. R. Subburaman,Bharani Pictures
1952,Rani,Tamil,,S. Balachander,C. R. Subburaman,Jupiter Pictures
1952,Rani,Hindi,,Anoop Kumar,C. R. Subburaman,Jupiter Pictures
1953,Chandirani,Tamil,Champa & Chandi,N. T. Rama Rao,"C. R. Subburaman, Assistants: M. S. Viswanathan & T. K. Ramamoorthy",Bharani Pictures
1953,Chandirani,Telugu,Champa & Chandi,N. T. Rama Rao,"C. R. Subburaman, Assistants: M. S. Viswanathan & T. K. Ramamoorthy",Bharani Pictures
1953,Chandirani,Hindi,Champa & Chandi,Dilip Kumar,"C. R. Subburaman, Assistants: M. S. Viswanathan & T. K. Ramamoorthy",Bharani Pictures
1954,Aggi Ramudu,Telugu,Saradha,N. T. Rama Rao,S. M. Subbaiah Naidu,Pakshiraja Studios
