Year,Film,Language,Character,Co-Star,Music,Banner
1963,Arivaali,Tamil,Manorama,Sivaji Ganesan,S. V. Venkatraman,A. T. K. Productions
1963,Penchina Prema,Telugu,,,,
1963,Kaanchi Thalaivan,Tamil,,M. G. Ramachandran,K. V. Mahadevan,Mekala Pictures
1964,Bobbili Yudham,Telugu,Mallamma,N. T. Rama Rao,S. Rajeswara Rao,
1964,Vivaha Bandham,Telugu,Bharati,,,
1965,Antastulu,Telugu,,A. Nageswara Rao,K. V. Mahadevan,
1965,Todu Needa,Telugu,,,,
1966,Palnati Yudham,Telugu,Nagamma,N. T. Rama Rao,S. Rajeswara Rao,Sri Anuroopa Films
1967,Grihalakshmi,Telugu,Laxmi,,,
1967,Pattatthu Rani,Tamil,,Gemini Ganesan,T. K. Ramamoorthy,
