Rank,Name,Heightft (m),Floors,Year,Coordinates,Notes,Dummy_Col_1,Random_Column_2,Filler_3
12,1330 Broadway,297 (91),21,1956–1959,37°48′14″N 122°16′14″W﻿ / ﻿37.80389°N 122.27056°W,,qwQxzD,ioFnzbv,cHoIV
13,Pacific Bell Building,296 (90),20,1985,37°48′37″N 122°15′57″W﻿ / ﻿37.81028°N 122.26583°W,,ZTZvwa,qS5Ql9,omFbZv
14,555 City Center,279 (85),20,2002,37°48′13″N 122°16′31″W﻿ / ﻿37.80361°N 122.27528°W,,kmGCTOcz,eYrtRy,WhWTHsP
15,Park Bellevue Tower,270 (82),25,1969,37°48′28″N 122°15′20″W﻿ / ﻿37.80778°N 122.25556°W,,ouvhTdzf,TjkkW5ly,rVIwbFak
16,St. Paul's Towers,267 (81),22,1966,37°48′42″N 122°15′37″W﻿ / ﻿37.81167°N 122.26028°W,,UHQOsjcB,dv8PQ,LxkPj
17,The Grand Apartments,263 (80),22,2008,37°48′41″N 122°15′53″W﻿ / ﻿37.81139°N 122.26472°W,,gFegXx,p0W53th,aQflIRn
18,Central Building,235 (72),15,1926,37°48′15″N 122°16′14″W﻿ / ﻿37.80417°N 122.27056°W,,ZmFvjypA,lRzFtOv,IfmaVHTw
19,Bank of America Building,225 (69),18,1907,37°48′10″N 122°16′17″W﻿ / ﻿37.80278°N 122.27139°W,Tallest building constructed in the decade of 1900,codefgmo,sE8Slkr1,HMtoKzB
20,Financial Center Building,214 (65),14,1929,37°48′13″N 122°16′13″W﻿ / ﻿37.80361°N 122.27028°W,,pcvIBE,xRvtun3,IzflpMk
21,SBC Building,203 (62),15,—,37°48′21″N 122°16′08″W﻿ / ﻿37.80583°N 122.26889°W,,dcOfyXV,HeYyV,avdRvn
