Rank,Name,Heightft (m),Floors,Year,Coordinates,Notes
1,Ordway Building,404 (123),28,1970,37°48′36″N 122°15′51″W﻿ / ﻿37.81000°N 122.26417°W,Tallest building in both Oakland and in the Bay Area outside of San Francisco; tallest building constructed in the 1970s
2,Kaiser Center,390 (119),28,1960,37°48′32″N 122°15′52″W﻿ / ﻿37.80889°N 122.26444°W,Tallest building constructed in the 1960s
3,Lake Merritt Plaza,371 (113),27,1988,37°48′27″N 122°15′54″W﻿ / ﻿37.80750°N 122.26500°W,Tallest building constructed in the 1980s
4,1111 Broadway,360 (110),24,1990,37°48′10″N 122°16′22″W﻿ / ﻿37.80278°N 122.27278°W,Tallest building constructed in the 1990s
5,Kaiser Engineering Building,336 (102),25,1984,37°48′21″N 122°15′54″W﻿ / ﻿37.80583°N 122.26500°W,
6,Clorox Building,330 (101),24,1976,37°48′12″N 122°16′20″W﻿ / ﻿37.80333°N 122.27222°W,
7=,EM Harris State Office Building,328 (100),22,1998,37°48′23″N 122°16′24″W﻿ / ﻿37.80639°N 122.27333°W,
7=,Ronald V. Dellums Federal Building South,328 (100),18,1994,37°48′16″N 122°16′29″W﻿ / ﻿37.80444°N 122.27472°W,
7=,Ronald V. Dellums Federal Building North,328 (100),18,1994,37°48′18″N 122°16′28″W﻿ / ﻿37.80500°N 122.27444°W,
10,Oakland City Hall,320 (98),14,1914,37°48′19″N 122°16′21″W﻿ / ﻿37.80528°N 122.27250°W,Tallest building constructed in the 1910s; National Register of Historic Places
11,Tribune Tower,310 (94),22,1906,37°48′11″N 122°16′14″W﻿ / ﻿37.80306°N 122.27056°W,Tallest building constructed in the 1920s
