Rank,Bib,Athlete,Country,Run 1,Run 2,Total,Behind
32,32,Valentin Cretu,Romania,49.201 (32),,49.201,
32,33,Andriy Kis,Ukraine,49.201 (32),,49.201,
34,35,Danej Navrboc,Slovenia,49.307 (34),,49.307,
35,36,Hidenari Kanayama,Japan,49.584 (35),,49.584,
36,37,Pavel Angelov,Bulgaria,49.968 (36),,49.968,
37,38,Tilen Sirse,Slovenia,50.001 (37),,50.001,
38,39,Kim Dong-Hyeon,South Korea,50.375 (38),,50.375,
39,40,Stanislav Benyov,Bulgaria,50.590 (39),,50.590,
40,6,Semen Pavlichenko,Russia,51.791 (40),,51.791,
41,41,Imre Pulai,Hungary,52.512 (41),,52.512,
