Rank,Bib,Athlete,Country,Run 1,Run 2,Total,Behind
22,23,Thor Haug Norbech,Norway,48.869 (18),48.855 (22),1:37.724,+1.349
23,24,Adam Rosen,Great Britain,48.878 (19),48.884 (23),1:37.762,+1.387
24,28,John Fennell,Canada,48.915 (22),48.968 (24),1:37.883,+1.508
25,30,Mitchel Malyk,Canada,48.935 (24),49.005 (25),1:37.940,+1.565
26,22,Kristaps Maurins,Latvia,48.966 (26),,48.966,
27,29,Aleksandr Peretjagin,Russia,48.995 (27),,48.995,
28,27,Bruno Banani,Tonga,49.026 (28),,49.026,
29,34,Andriy Mandziy,Ukraine,49.075 (29),,49.075,
30,26,Maciej Kurowski,Poland,49.099 (30),,49.099,
31,31,Tonnes Stang Rolfsen,Norway,49.120 (31),,49.120,
