Year,Film,Role,Other notes,Noise_Field_1,Dummy_Col_2
1985,King David,Tamar,,hiHOqVl,Myyomy
1985,Mussolini: The Untold Story,Gina Ruberti,(television mini-series),dMLzQ,aGLoePcw
1991,Secret Friends,Helen,,rtmmJ,fcnwQic
1992,Vsetko co mam rad,Ann,,EogQNMOO,xqlgrvZh
1992,Leon the Pig Farmer,Lisa,,lKNhoxWE,mQOVd
1993,Horse Opera,Sandra/Marion,,MvJrdZf,HETofyl
1996,Silent Trigger,Clegg (Spotter),,NihkJ,GGDuo
1997,David,Michal,(television film),pqcNMlx,YMwLaQyF
2000,Ted & Ralph,Henrietta Spain,,oxtIzw,SOJYmeOp
2000,Paranoid,Eve,,wTJSnaqz,RvvegFmS
2000,Seven Days to Live,Claudia,,putPduI,HikkSjf
2001,Subterrain,Junkie Spirit,,wXDqP,EArsCBPe
2001,Married/Unmarried,Amanda,,pRjtwa,LliTmmIJ
