Year,Film,Role,Other notes
2003,Sitting Ducks,Christine,
2005,Zerophilia,Sydney,
2007,Permanent Vacation,Kathleen Bury,
Year,Title,Role,Notes
1982,Into the Labyrinth,Christine,Episode: Phantom
1984,Grange Hill,Trudy,Episode: 7.8Episode: 7.9
1989,Only Fools and Horses,Carmen,Episode: The Unlucky Winner Is...
1989,Screen Two,Greta,Episode: Sitting Targets
1989,Blackeyes,Blackeyes,Episode 1.1Episode 1.2Episode 1.3Episode 1.4
1991,The Storyteller,Eurydice,Episode: Orpheus and Eurydice (live-action puppet television series)
1994,Little Napoleons,Liz Blakemore,Episode: The Big Interview
1996,Scene,Athene Nike/Trainer,Episode: Young Jung
