Year,Film,Role,Other notes,Irrelevant_1,Irrelevant_2,Noise_Field_3
1996,Sharman,Kiki,Episode 1.1,MgnctXi,wwoIK,wTKAWzE
1999,Jonathan Creek,Samantha,Episode: Ghost's Forge,NpUwoR6p,TbPcVXfZ,fFJuWklX
2000–2004,Coupling,Jane Christie,28 episodes,xrEpZwG,lH6T4,ukWiiu
2003,Waking the Dead,Frannie Henning,Episode: Final Cut: Part 1Episode: Final Cut: Part 2,oiP8zp,JDY4FS,scgTL
2005,The Last Detective,Caroline,Episode: Friends Reunited,LVaLj,ovXGS6H,IajUs
2007,Hotel Babylon,Marina Stoll,Episode: 2.2 (BBC television drama),mDhriks,4OhKc,QEpGL
2007,Jekyll,Claire Jackman,Episode: 1.1Episode: 1.2Episode: 1.3Episode: 1.4Episode: 1.5Episode: Hyde,WOXlD,kydQU5t,gutBUozr
2007,Nearly Famous,Traci Reed,Episode: 1.1Episode: 1.2Episode: 1.4,N63Iw11,gLegEh3,SWrkseK
2007,Heroes and Villains,Catherine Carteaux,Episode: Napoleon (television docudrama),IMz1sQqx,I2NUZaS,gCwQD
2008,The Wrong Door,Pilot Instructor/Jill,Episode: NjarniaEpisode: The Smutty Aliens,lOkpm,m4BJs,lDBpTw
2008–2012,Leverage,Sophie Devereaux,72 episodes,t3skf4x,YXQCd,HDqzA
2013,Ripper Street,Jemima Swann,"Series 2, episode 6",MtZTl,uTL5BCJZ,eGUvUz
