#,Judge,State,Born/Died,Active,Chief,Senior,Appointed by,Reason fortermination,Filler_1,Unused_2,Dummy_Col_3
1,Don Albert Pardee,LA,1837–1919,1891–1919,——,——,,death,wYFWfIZ,,yQeMAV
2,Andrew Phelps McCormick,TX,1832–1916,1892–1916,——,——,B. Harrison,death,gHYEeHcK,,IkVuWchI
3,David Davie Shelby,AL,1847–1914,1899–1914,——,——,McKinley,death,fAaPR,,npeBFb
4,"Richard Wilde Walker, Jr.",AL,1857–1936,1914–1930,——,1930–1936,Wilson,death,ILZxSBKf,,NsExNeM
5,Robert Lynn Batts,TX,1864–1935,1917–1919,——,——,Wilson,resignation,vDkBQ,,XrjuAl
6,Nathan P. Bryan,FL,1872–1935,1920–1935,——,——,Wilson,death,wpNzLh,,ELCdnkKK
7,Alexander Campbell King,GA,1856–1926,1920–1924,——,——,Wilson,resignation,wnpba,,WxMTKlXs
8,Rufus Edward Foster,LA,1871–1942,1925–1942,——,——,Coolidge,death,ilmay,,TIZxyNv
9,Samuel Hale Sibley,GA,1873–1958,1931–1949,——,1949–1958,Hoover,death,pSRxmK,,mmYLm
10,"Joseph Chappell Hutcheson, Jr.",TX,1879–1973,1931–1964,1948–1959,1964–1973,Hoover,death,pdwFhGl,,MKXsF
