#,Judge,State,Born/Died,Active,Chief,Senior,Appointed by,Reason fortermination
52,Henry Anthony Politz,LA,1932–2002,1979–1999,1992–1999,1999–2002,Carter,death
54,"Samuel D. Johnson, Jr.",TX,1920–2002,1979–1991,——,1991–2002,Carter,death
55,"Albert Tate, Jr.",LA,1920–1986,1979–1986,——,——,Carter,death
56,Thomas Alonzo Clark,GA,1920–2005,1979–1981,——,——,Carter,reassignment to 11th Circuit
57,Jerre Stockton Williams,TX,1916–1993,1980–1990,——,1990–1993,Carter,death
58,William Lockhart Garwood,TX,1931–2011,1981–1997,——,1997–2011,Reagan,death
62,Robert Madden Hill,TX,1928–1987,1984–1987,——,——,Reagan,death
65,"John Malcolm Duhé, Jr.",LA,1933-,1988–1999,——,1999–2011,Reagan,retirement
72,Robert Manley Parker,TX,1937–,1994–2002,——,——,Clinton,retirement
76,Charles W. Pickering,MS,1937–,2004–2004,——,——,G.W. Bush,retirement
