#,Judge,State,Born/Died,Active,Chief,Senior,Appointed by,Reason fortermination
41,James Clinkscales Hill,GA,1924–,1976–1981,——,——,Ford,reassignment to 11th Circuit
42,Peter Thorp Fay,FL,1929–,1976–1981,——,——,Ford,reassignment to 11th Circuit
43,Alvin Benjamin Rubin,LA,1920–1991,1977–1989,——,1989–1991,Carter,death
44,Robert Smith Vance,AL,1931–1989,1977–1981,——,——,Carter,reassignment to 11th Circuit
45,Phyllis A. Kravitch,GA,1920–,1979–1981,——,——,Carter,reassignment to 11th Circuit
46,Frank Minis Johnson,AL,1918–1999,1979–1981,——,——,Carter,reassignment to 11th Circuit
47,R. Lanier Anderson III,GA,1936–,1979–1981,——,——,Carter,reassignment to 11th Circuit
48,Reynaldo Guerra Garza,TX,1915–2004,1979–1982,——,1982–2004,Carter,death
49,Joseph Woodrow Hatchett,FL,1932–,1979–1981,——,——,Carter,reassignment to 11th Circuit
50,Albert John Henderson,GA,1920–1999,1979–1981,——,——,Carter,reassignment to 11th Circuit
