#,Judge,State,Born/Died,Active,Chief,Senior,Appointed by,Reason fortermination,Dummy_Col_1,Filler_2,Irrelevant_3
21,Warren Leroy Jones,FL,1895–1993,1955–1966,——,1966–1981,Eisenhower,reassignment to 11th Circuit,dkghRuS,OwdxBUz,ZrA79hr8
22,John Robert Brown,TX,1909–1984,1955–1984,1967–1979,1984–1993,Eisenhower,death,EHZeWw,aKAElY,qlOpWk
23,John Minor Wisdom,LA,1905–1999,1957–1977,——,1977–1999,Eisenhower,death,ncCtQzIm,spRyxDV,jRDrKoz
24,Griffin Bell,GA,1918–2009,1961–1976,——,——,Kennedy,resignation,XjEsjFC,NzXsHB,3yq4g6EM
25,Walter Pettus Gewin,AL,1908–1981,1961–1976,——,1976–1981,Kennedy,death,gPIWJN,NVDddfO,JIe7ZQI9
26,William Homer Thornberry,TX,1909–1995,1965–1978,——,1978–1995,L. Johnson,death,MXUac,urXnsbLh,ujEDuGz
27,James Plemon Coleman,MS,1914–1991,1965–1981,1979–1981,1981–1984,L. Johnson,resignation,pgmqWiUL,jbUyiOBA,6VKqotS
28,"Robert Andrew Ainsworth, Jr.",LA,1910–1981,1966–1981,——,——,L. Johnson,death,mnJYTG,NmHWhby,8c0WOs
29,John Cooper Godbold,AL,1920–2009,1966–1981,1981–1981,——,L. Johnson,reassignment to 11th Circuit,RLdcoisd,VbTHv,VX9ZjX
30,Irving Loeb Goldberg,TX,1906–1995,1966–1980,——,1980–1995,L. Johnson,death,Vehqg,iOytT,B3dPa0
