No.,Name,Public Access,Location & map links,AreaHa,AreaAcres,References,Dummy_Col_1,Noise_Field_2,Noise_Field_3
13,Madingley Wood,,52°13′00″N 0°02′57″E﻿ / ﻿52.2168°N 0.0493°E    TL401596,15,38,SSSI,KsBStzCz,NktSvGfv,EThFeZX
14,Monks Wood NNR,,52°24′18″N 0°14′15″W﻿ / ﻿52.4049°N 0.2375°W    TL200800,170,420,SSSI NNR,sIEhvKrI,UgxXCow,vrSJPs
15,Out and Plunder Woods,,52°10′03″N 0°25′33″E﻿ / ﻿52.1674°N 0.4258°E    TL660549,28,69,SSSI,QVJLTpO,rNdKS,MDYmM
16,Over and Lawn Woods,,52°06′35″N 0°23′15″E﻿ / ﻿52.1097°N 0.3876°E    TL636484,45,111,SSSI,YTGyWyhA,vffysLp,DoELErtz
17,Perry Woods,,52°17′06″N 0°20′15″W﻿ / ﻿52.2849°N 0.3375°W    TL135665,67,165,SSSI,YaLGDKRv,jWaRPCIr,PuHlMl
18,Ten Wood,,52°10′31″N 0°25′56″E﻿ / ﻿52.1754°N 0.4321°E    TL664558,17,42,SSSI,kxaZio,KRVdWv,HxdTN
19,Thorpe Wood,,52°34′22″N 0°17′28″W﻿ / ﻿52.5729°N 0.2912°W    TL159986,12,28,SSSI BCNPWT,ABSgUrc,vwOzB,IjrgT
20,Warboy's And Wistow Woods,,52°25′11″N 0°05′18″W﻿ / ﻿52.4196°N 0.0883°W    TL301819,42,103,SSSI,IqVLB,TOycLQ,WoOHq
21,Waresley Wood,,52°10′37″N 0°09′21″W﻿ / ﻿52.177°N 0.1558°W    T 262548,62,153,SSSI,cCMcdBKj,JoLTzA,tLlDsFR
22,Weaveley and Sand Woods,,52°10′21″N 0°12′31″W﻿ / ﻿52.1724°N 0.2086°W    TL226542,76,188,SSSI,zAfSU,TAzmHbgr,kWJkF
23,West Abbot's and Lound Woods,,52°35′54″N 0°26′11″W﻿ / ﻿52.5983°N 0.4364°W    TF060012,51,126,SSSI,ckdgFMU,KinJMVYg,qlmioyYq
