No.,Name,Public Access,Location & map links,AreaHa,AreaAcres,References
1,Aversley Wood,,52°25′25″N 0°17′28″W﻿ / ﻿52.4236°N 0.2911°W    TL163820,61,151,SSSI WT
2,Balsham Wood,,52°07′19″N 0°19′11″E﻿ / ﻿52.1219°N 0.3196°E    TL589496,35,85,SSSI
3,Bedford Purlieus NNR,,52°35′00″N 0°27′49″W﻿ / ﻿52.5833°N 0.4635°W    TL042995,208,514,SSSI NNR FC
4,Brampton Wood,,52°19′02″N 0°16′13″W﻿ / ﻿52.3172°N 0.2703°W    TL180702,132,326,SSSI BCNPWT
5,Buff Wood,,52°08′10″N 0°07′36″W﻿ / ﻿52.1361°N 0.1268°W    TL283503,16,39,SSSI BCNPWT
6,Carlton Wood,,52°09′02″N 0°24′58″E﻿ / ﻿52.15051°N 0.4161°E    TL654530,10,25,SSSI
7,Gamlingay Wood,,52°09′57″N 0°11′08″W﻿ / ﻿52.1658°N 0.1855°W    TL242535,46,114,SSSI BCNPWT
8,Hardwick Wood,,52°11′57″N 0°01′13″W﻿ / ﻿52.1991°N 0.0203°W    TL354575,17,42,SSSI BCNPWT
9,Hayley Wood,,52°09′33″N 0°06′51″W﻿ / ﻿52.1593°N 0.1141°W    TL291529,52,129,SSSI BCNPWT
10,Kingston Wood and Outliers,,52°10′06″N 0°03′50″W﻿ / ﻿52.1684°N 0.064°W    TL325540,49,121,SSSI
11,Langley Wood,,52°03′24″N 0°20′33″E﻿ / ﻿52.0567°N 0.3424°E    TL607424,31,77,SSSI
12,Little Paxton Wood,,52°15′26″N 0°17′14″W﻿ / ﻿52.2572°N 0.2872°W    TL170635,45,111,SSSI
