Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Unused_1,Filler_2,Irrelevant_3
1,10,Juan Pablo Montoya,McLaren-Mercedes,60,1:24:29.588,3,10,,ZqAHP,7187lQR
2,5,Fernando Alonso,Renault,60,+2.739,1,8,,XjTIdNss,WqAcdmr
3,9,Kimi Räikkönen,McLaren-Mercedes,60,+14.436,12 †,6,,YaAlIEhd,CZeQlXu
4,6,Giancarlo Fisichella,Renault,60,+17.914,6,5,,FqGyCsvQ,Fym7Pir
5,3,Jenson Button,BAR-Honda,60,+40.264,2,4,,Uhueh,gNGFKR
6,1,Michael Schumacher,Ferrari,60,+1:15.322,9,3,,MmmUqFq,0kun8d
7,2,Rubens Barrichello,Ferrari,60,+1:16.567,5,2,,dPYIWXC,V8vpqZ
8,17,Ralf Schumacher,Toyota,60,+1:19.212,8,1,,jvLOwfbq,TrBfQ
9,16,Jarno Trulli,Toyota,60,+1:20.851,4,,,UjBhQiI,XcxgU
10,12,Felipe Massa,Sauber-Petronas,59,+1 Lap,16,,,DhZSe,4xN19i
