Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
11,7,Mark Webber,Williams-BMW,59,+1 Lap,11,
12,8,Nick Heidfeld,Williams-BMW,59,+1 Lap,14,
13,14,David Coulthard,Red Bull-Cosworth,59,+1 Lap,13,
14,11,Jacques Villeneuve,Sauber-Petronas,59,+1 Lap,10,
15,15,Christian Klien,Red Bull-Cosworth,59,+1 Lap,15,
16,4,Takuma Sato,BAR-Honda,58,+2 Laps,7,
17,18,Tiago Monteiro,Jordan-Toyota,58,+2 Laps,20 ‡,
18,21,Christijan Albers,Minardi-Cosworth,57,+3 Laps,18,
19,20,Patrick Friesacher,Minardi-Cosworth,56,+4 Laps,19,
Ret,19,Narain Karthikeyan,Jordan-Toyota,10,Electrical,17,
