Victim(s),Age,Gender,Date,Type of attack,Location,Details,Source(s),Irrelevant_1,Irrelevant_2
Biologist,,♂,1984,Prey-testing agonistic charge,"185 km southeast of Churchill, Manitoba, Canada","The wolf ran directly at three biologists, ears up, straight-tail, maintaining eye contact with one in particular. At two metres, he sounded an airhorn directly at the animal, which veered to one side and ran off.",,F9nQR,eeMSFO
Christopher Nimitz,2,♂,"October 18, 1985",Captive,"Idyllwild, California, USA",His family's captive wolf pulled his arm into the cage and severed it. His mother saved him but was arrested for child endangerment.,Los Angeles Times,mLYvMT,LTh3XA9b
"Robert Mulders, Biologist",,♂,"December 13, 1985",Prey-testing Agonistic,"Whale Cove, Nunavut, Canada","Two biologists netted a caribou from a helicopter and landed to perform tests and attach a radio collar. While working near the running blades of the helicopter, Mulders saw a wolf approaching. Both men stood, shouted, and waved their arms. When mulders stepped toward the wolf, it started circling and stalking, then rushed in and bit down on Mulders' lower leg and would not let go despite repeated punches by Mulders for 10–15 seconds until the other biologist, Mark Williams, knocked the wolf unconscious with the caribou radio collar. Mulders then took the collar and struck the wolf in the head twice and stabbed it in the chest with a knife. The bite tore open his pants but left only a small wound.",,hvdxC,cEwpR
Park visitors,,,1987-1998,,"Algonquin Provincial Park, Ontario, Canada","All incidents were proceeded by extensive habituation. At first, the incidents were minor. In the first incident, in 1987, a sixteen-year-old girl was only briefly bitten, with the attack being classified as \disciplinary\""", as the girl had been annoying the wolf. Years later,MbHNeXeL,zbxks
In one of the most serious of these, a wolf grabbed and tossed a nineteen month-old boy, who was saved by his parents, but received multiple puncture wounds.,,,,,neU1AYyH,3F3N92p
In another, a wolf dragged a twelve-year-old boy in a sleeping bag. His nose was broken and face lacerated before being saved by his father. The wolf went on to attack three women in two attacks before being shot. It was a healthy male with stomach contents scavenged from camps. The boy underwent reconstructive surgery.,,,,,,,3DQbfn,kijUv
In all, five people were bitten. In all cases, the wolves were killed," and rabies tests were negative.""",,,,,lRJwfqi,oZaSo
Tabitha Mullin,,♀,"June, 1995",Agonistic,"Ellsmere Island, Nunavut, Canada","A wildlife biologist, Mullin was standing about five paces outside her front door on the Park warden’s base, observing and recording a pack of eleven wolves who approached and stopped inside 10 meters. One circled around closer, and she moved back toward the door. When she turned to open the door, the wolf grabbed and pulled her forearm. She pulled back, screamed, and her sleeves ripped; the wolf released; she got inside, closed the door, and the wolves left. She suspected photographers had been luring the wolves in with food. She was uninjured.",,08xvt,0txLylx
"Andy Greenblat, Bush pilot",,♂,1997,Prey-testing Agonistic charge,"Joshua Green River Alaska, USA","Greenblat was walking back to camp on a well-worn trail when he saw a wolf angling fast for a point ahead on the trail. When the wolf hit the trail it turned and ran directly at him, maintaining eye contact, ears forward. He yelled and waved his arms, and the wolf put its ears back but kept running and eye contact. At close range Andy was able to fire his weapon. The bullet missed, but the muzzle blast pushed the wolf off line, and the wolf missed. He swung the rifle and hit the wolf's skull; staggered, it ran off. Rabies was not suspected because the animal quickly gave up and ran away.",,ZxrqL,Ak5H1n9
Park visitor,,♂,"June, 1999",Agonistic,"Vargas Island Provincial Park, British Columbia, Canada","At about 2am, a wolf began dragging a sleeping man in a sleeping bag. The wolf had moved the man several meters away from the campfire when the man awoke, sat up, and shouted. The wolf stopped, stepped back, and attacked at the midsection, still encased in the sleeping bag. He fought it with his hands and arms, and rolled back towards the fire pit. The wolf bit him on the back and head, leaving multiple lacerations and separating a part of his scalp from the skull before being chased away by a group of other campers. The attack lasted about five minutes.The man was transported to hospital in Victoria, BC, where his scalp flap was reattached with 50 stitches, and wounds to his hands and back were treated. Two wolves were killed the next day, tested negative for rabies, and identified as the same wolves which had been fed and played by people when they were pups. The same wolves had earlier that evening disturbed another camper, and two days earlier had menaced several nature photographers. The stomach contents showed no sign of scavenging human food.",,EbxwzPm,Bodkr
"John Stenglein, logging camp resident",6,♂,"2000, April 26,",Predatory,"Icy Bay, Alaska, USA","John and an older boy were playing near the edge of a logging camp when a wolf appeared and chased the boys, attacking John when he fell and dragging him and toward the woods. He was saved by his friend's Labrador retriever, Willie, followed by a group of people, and then John's father arrived and shot the wolf. It was neither sick nor starving, having been habituated to the presence of people. John received 19 laceration and puncture wounds on the back, legs, and buttocks.",,qTzAcms,G4ZMfsbA
"Noah Graham, camper",16,♂,"2013, August 24, 4:30AM",,"Near Lake Winnibigoshish, Minnesota, USA","Awake and talking to his girlfriend when attacked from behind, biting his head. He kicked, screamed, punched, grabbed; and it disappeared. Was taken to the hospital for 17 staples to close a large head wound and to get precautionary injections. Authorities killed the wolf the next day and sent the body for rabies and DNA testing.",,YsNQNHGT,JWqEe
