Name,Place,Map ref,Date,Notes,Image,Noise_Field_1
Cathedral Church of St. Mary,"North Walk, The Close, Salisbury",51°03′54″N 1°47′51″W﻿ / ﻿51.064944°N 1.79738°W,1220,"Foundations laid April 25, 1220. Consecrated 1225, 1258 and when completed in 1266.",,gZpPcmzx
Salisbury Cathedral School,"The Close, Salisbury. SP1 2EQ",51°03′50″N 1°47′46″W﻿ / ﻿51.063886°N 1.796082°W,13/15th century,"Initially residential, now a private school.",,phHpWJww
Malmesbury House,"North Walk, The Close, Salisbury",51°03′58″N 1°47′38″W﻿ / ﻿51.066054°N 1.793979°W,1416,"Original known as Copt Hall demolished in 1399, still residential.",,GNkBT
The Theological College,"North Walk, The Close, Salisbury. SP1 2EG",51°03′58″N 1°47′43″W﻿ / ﻿51.0662°N 1.7954°W,Late 17th century,"Now called Sarum College, an ecumenical study centre.",,nIdBwsEN
"The Close Wall, Rosemary Lane","Rosemary Lane, North Walk, The Close, Salisbury, also Exeter St. Salisbury",51°03′54″N 1°47′38″W﻿ / ﻿51.0650°N 1.7939°W,1331,"The ancient wall surrounding the Cathedral close on north, east and south sides. Remnants of Old Sarum Cathedral visible.",no image,YCnRF
The Matron's College,"39-46 The High Street, Salisbury. SP1 2EL",51°04′00″N 1°47′52″W﻿ / ﻿51.066659°N 1.797729°W,1682,"Accommodation for clergy widows. Established by Bishop Seth Ward and probably designed by Christopher Wren, still functions with original intent.",,zEYpshe
North Gate,High St. Salisbury. SP1 2EG,51°04′01″N 1°47′52″W﻿ / ﻿51.066957°N 1.797729°W,14/15th century,Two-storey building over and around north entrance to the Cathedral Close.,,KtbBV
Mompesson House,"Choristers' Green, The Close Salisbury. SP1 2EG",51°40′01″N 1°47′55″W﻿ / ﻿51.66687°N 1.798486°W,1704,"Town house built for Sir Thomas Mompesson, 17/18th century MP, now a historical exhibit.",,QDbRma
"Screen, Walls, Piers, Gates and Overthrow of Mompesson House","Choristers' Green, The Close Salisbury. SP1 2EG",51°40′01″N 1°47′55″W﻿ / ﻿51.66687°N 1.798486°W,1704,"Frontage of house, low wall, iron gate and railings,18th century iron lamps.",,MuRhYtJL
Wren Hall,"Choristers' Green, The Close, Salisbury. SP1 2EL",51°04′00″N 1°47′57″W﻿ / ﻿51.0666°N 1.7993°W,14/15th century wing of Braybrook House rebuilt in 1714,"Originally a cathedral choristers' school, now used as a cathedral education centre.",,cHvjs
Braybrooke House,"Choristers' Green, The Close. SP1 2EG",51°03′59″N 1°47′59″W﻿ / ﻿51.0664°N 1.7996°W,14/15th century,"Initially residential, now a resource centre.",,PeTvo
Hemingsby House,"Choristers' Green, The Close, Salisbury. SP1 2EL",coord n/a,14/15th century,"Former canonry, has appearance of two houses.",,ChxFhhQI
