Name,Place,Map ref,Date,Notes,Image,Noise_Field_1,Filler_2,Unused_3
The King's House,"West Walk, The Close, Salisbury. SP1 2EG",51°03′52″N 1°48′00″W﻿ / ﻿51.064547°N 1.800004°W,"13/14th century, altered in 16/17th century","Originally the residence of the Abbot of Sherborne, now a museum.",|-,xAUHPX,dbHza,
68 West Walk,"The Close, Salisbury. SP1 2EN",51°03′50″N 1°48′00″W﻿ / ﻿51.0639°N 1.7999°W,1594,Residential to the present day,,tPDPUB,vtdThE,
"Retaining Wall, Screen Railing, Piers and Gates of No. 68 West Walk","68 West Walk, The Close, Salisbury. SP1 2EN",51°03′50″N 1°47′59″W﻿ / ﻿51.0638°N 1.7996°W,circa 1720,Iron decorative screen with gate and low wall.,no image,gxHwXn,QpkGwviw,
The Walton Canonry,"No. 96 West Walk, The Close, Salisbury. SP1 2EN",51°03′47″N 1°47′58″W﻿ / ﻿51.062989°N 1.799505°W,1720,"A private residence, named from earlier resident, Canon Walton, son of the angler, still residential.",,KtBAx,BOIsd,
Leaden Hall,"West Walk, The Close, Salisbury. SP1 2EP",51°03′47″N 1°48′00″E﻿ / ﻿51.06305°N 1.79987°E,1717,"Original site of canonical house of Elias of Dereham, now part of a private school.",no image,XXunWbLp,MqbiZk,
South Gate or Harnham Gate and Gatehouse,"1 de Vaux Place, Salisbury. SP1 2ES",51°03′45″N 1°47′52″W﻿ / ﻿51.062364°N 1.797729°W,14th Century,"Archway, gate and gatehouse. Southern gate into Cathedral Close.",,IGxCCZ,wofJc,
Bishop's Gate,"Exeter Street, Salisbury. SP1 2EG",51°03′51″N 1°47′39″W﻿ / ﻿51.064054°N 1.79415°W,13/14th century,The eastern gateway into Cathedral Close,no image,pdBwzK,mOXiCj,
St Annes Gate,"2 St John's St, Salisbury. SP1 2EG",51°03′57″N 1°47′37″W﻿ / ﻿51.065895°N 1.79368°W,circa 1331,"Originally a residence and gateway, now only partly residential but still a gateway.",,yxOUM,ggcKmtGo,
Church of St. Lawrence,"Stratford-sub-Castle, Salisbury",51°05′34″N 1°48′55″W﻿ / ﻿51.092782°N 1.815276°W,Early C13 chancel but consecration recorded for 1326.,Parish Church of the village of Stratford sub Castle,,RAbWSosI,BtqPRXjb,
Church of St Martin,"St Martin's Church St., Salisbury. SP1 2HY",51°03′56″N 1°47′14″W﻿ / ﻿51.065548°N 1.787188°W,13/14th century,"Originally a Saxon church, several restorations.",,UNGkmAig,FdkTm,
Church of St Thomas and St Edmund,"St Thomas' Square., Salisbury. SP1 1BA",51°04′08″N 1°47′50″W﻿ / ﻿51.068986°N 1.797134°W,Probably 1220,Parish church of New Sarum.,,iafYj,CXELx,
John Halle's Hall,"The New Canal, Salisbury. SP1 2AD",51°05′13″N 1°47′42″W﻿ / ﻿51.086845°N 1.794902°W,15th century with late 19th century frontage.,"Originally residential, now entrance to Odeon cinema.",no image,OXgwlTL,xqTrmbBU,
