Rank,Athlete,ShootingScore (pts),FencingVictories (pts),SwimmingTime (pts),RidingPenalties (pts),RunningTime (pts),Total,Dummy_Col_1
23,Erik Johansson (SWE),163 (892),12 (720),2:06.68 (1280),84 (1116),10:08.20 (968),4976,LjOilEs
24,Han Do-Ryeong (KOR),183 (1132),15 (804),2:09.78 (1244),392 (808),10:13.85 (948),4936,sBVWRqA
25,Raphaël Astier (FRA),163 (892),14 (776),2:06.93 (1280),204 (996),10:03.64 (988),4932,HYjkot
26,Enrico Dell'Amore (ITA),180 (1096),18 (888),2:16.63 (1164),440 (760),9:55.01 (1020),4928,cHfwT
27,Alexander Parygin (AUS),169 (964),13 (748),2:14.14 (1192),196 (1004),10:01.57 (996),4904,OBBOLAs
28,Vasileios Floros (GRE),174 (1024),10 (664),2:04.40 (1308),100 (1100),11:02.25 (752),4848,BiHcfrGH
29,Daniel dos Santos (BRA),163 (892),14 (776),2:16.52 (1164),84 (1116),10:54.15 (784),4732,FzHLdh
30,Andrzej Stefanek (POL),172 (1000),16 (832),2:07.37 (1272),616 (584),10:03.35 (988),4676,Ghimwvb
31,Edvinas Krungolcas (LTU),171 (988),16 (832),2:07.23 (1276),112 (1088),13:11.15 (236),4420,OKJYSVx
32,Marcin Horbacz (POL),181 (1108),18 (888),2:04.43 (1308),1088 (112)*,10:07.46 (972),4388,JzUCa
