Medal,Name,Sport,Event,Date
Gold,Edvard Westerlund,Wrestling,Men's Greco-Roman middleweight,July 10
Silver,Ville Ritola,Athletics,Men's 5000 m,July 10
Silver,Ville Ritola,Athletics,Men's individual cross country,July 12
Silver,Erik Wilén,Athletics,Men's 400 m hurdles,July 7
Silver,Elias Katz,Athletics,Men's 3000 m steeplechase,July 9
Silver,Vilho Niittymaa,Athletics,Men's discus throw,July 13
Silver,Konrad Huber,Shooting,Men's trap,July 9
Silver,Kaarlo Mäkinen,Wrestling,Men's freestyle bantamweight,July 14
Silver,Volmar Wikström,Wrestling,Men's freestyle lightweight,July 14
Silver,Eino Leino,Wrestling,Men's freestyle welterweight,July 14
Silver,Anselm Ahlfors,Wrestling,Men's Greco-Roman bantamweight,July 10
Silver,Aleksanteri Toivola,Wrestling,Men's Greco-Roman featherweight,July 10
