Medal,Name,Sport,Event,Date,Filler_1,Extra_Data_2
Gold,Paavo Nurmi,Athletics,Men's 1500 m,July 10,mTGNnhO,603
Gold,Paavo Nurmi,Athletics,Men's 5000 m,July 10,VXNxteI,798
Gold,Paavo Nurmi,Athletics,Men's individual cross country,July 12,ieiSZGU,429
Gold,Ville Ritola,Athletics,"Men's 10,000 m",July 6,YmSOzng,656
Gold,Ville Ritola,Athletics,Men's 3000 m steeplechase,July 9,zFbTMZTg,65
Gold,"Elias Katz, Paavo Nurmi, Ville Ritola",Athletics,Men's 3000 m team race,July 13,QWLDEk,431
Gold,Albin Stenroos,Athletics,Men's marathon,July 13,XeWUnd,850
Gold,"Heikki Liimatainen, Paavo Nurmi, Ville Ritola",Athletics,Men's team cross country,July 12,UpRefiJV,478
Gold,Jonni Myyrä,Athletics,Men's javelin throw,July 6,LTnJEee,634
Gold,Eero Lehtonen,Athletics,Men's pentathlon,July 7,OiesGqR,818
Gold,Kustaa Pihlajamäki,Wrestling,Men's freestyle bantamweight,July 14,ccikwtl,552
Gold,Kalle Anttila,Wrestling,Men's Greco-Roman featherweight,July 10,RsliND,334
Gold,Oskari Friman,Wrestling,Men's Greco-Roman lightweight,July 10,BntDtm,805
