Medal,Name,Sport,Event,Date,Extra_Data_1,Filler_2,Irrelevant_3
Silver,Arthur Lindfors,Wrestling,Men's Greco-Roman middleweight,July 10,558,KEdRNqK,tvKjvx
Silver,Edil Rosenqvist,Wrestling,Men's Greco-Roman heavyweight,July 10,544,MbOWQGP,eDKZPKtQ
Bronze,Eero Berg,Athletics,"Men's 10,000 m",July 6,451,Zhhsg,olznE
Bronze,Vilho Tuulos,Athletics,Men's triple jump,July 12,922,kqYgoQ,LfMpFpSR
Bronze,Hans Dittmar,Sailing,Monotype class,July 13,953,bjqRmhQa,MCSVBNq
Bronze,Lennart Hannelius,Shooting,Men's 25 m rapid fire pistol,July 28,345,MVVbpnzw,esM4Eri
Bronze,"Werner Ekman, Konrad Huber, Robert Huber,Georg Nordblad, Toivo Tikkanen, Karl Magnus Wegelius",Shooting,Men's team clay pigeons,July 7,435,QVhvCj,PmzykZ
Bronze,Arvo Haavisto,Wrestling,Men's freestyle lightweight,July 14,818,IkclSUDu,5yGXHVEh
Bronze,Vilho Pekkala,Wrestling,Men's freestyle middleweight,July 14,300,WmHksnn,JqiHiTCa
Bronze,Väinö Ikonen,Wrestling,Men's Greco-Roman bantamweight,July 10,899,oLTqmmLe,nb6vZ
Bronze,Kalle Westerlund,Wrestling,Men's Greco-Roman lightweight,July 10,137,EtXivTx,cxtqLg
Bronze,Onni Pellinen,Wrestling,Men's Greco-Roman light heavyweight,July 10,875,HsILN,EypkneXJ
