Year Built,Works Number,Wheel Arr.,Gauge,Original Owner,Name,Current Location,Notes
1901,763,0-4-0ST,1 ft 11 1⁄2 in (597 mm),Dorothea Quarry,Dorothea,Launceston Steam Railway,
1902,779,0-4-0ST,2 ft (610 mm),Dinorwic Quarry,Holy War,Bala Lake Railway,
1902,780,0-4-0ST,2 ft (610 mm),Dinorwic Quarry,Alice,Bala Lake Railway,
1902,783,0-6-0T,(1000mm),Sociedad General de Ferrocarriles Vasco-Asturiana,VA-21 Nalon,Gijon Railway Museum (Spain),
1903,822,0-4-0ST,2 ft (610 mm),Dinorwic Quarry,Maid Marian,Bala Lake Railway,
1903,823,0-4-0ST,2 ft (?),Dinorwic Quarry,Irish Mail,West Lancashire Light Railway,
1903,827,0-4-0ST,1 ft 11 3⁄4 in (603 mm),Pen-yr-orsedd Quarry,Sybil,Brecon Mountain Railway,
1904,855,0-4-0ST,1 ft 10 3⁄4 in (578 mm),Penryn Quarry,Hugh Napier,"Penrhyn Castle Railway Museum, Gwynedd",
1905,873,0-4-0ST,2 ft (?),Pen-yr-orsedd Quarry,Una,"National Slate Museum, Llanberis",
1904,894,0-4-0ST,1 ft 11 3⁄4 in (603 mm),Dinorwic Quarry,Thomas Bach,Llanberis Lake Railway,Originally named “Wild Aster”
1906,901,2-6-2T,1 ft 11 1⁄2 in (597 mm),North Wales Narrow Gauge Railways,Russell,Welsh Highland Heritage Railway,
