Year Built,Works Number,Wheel Arr.,Gauge,Original Owner,Name,Current Location,Notes,Extra_Data_1,Irrelevant_2
1893,590,2-4-0ST+T,1 ft 11 1⁄2 in (597 mm),Penrhyn Quarry Railway,Linda,Ffestiniog Railway,"Built as 0-4-0ST, converted to 2-4-0ST+T by FR.",299,YrMQC2i
1894,605,0-4-0ST,1 ft 11 3⁄4 in (603 mm),Penrhyn Quarry,Margaret,Vale of Rheidol Railway,Under restoration.[citation needed],53,eeWGWV
1894,606,0-4-0ST,2 ft (?),Penrhyn Quarry,Alan George,Teifi Valley Railway,,272,Ki4HOm
1895,638,0-4-0ST,2 ft (610 mm),Dinorwic,Jerry M,Hollycombe Steam Collection,,508,JpTzlvw
1896,652,0-4-0ST,1 ft 11 1⁄2 in (597 mm),"Groby Granite, then Dinorwic Quarry",Lady Madcap,Welsh Highland Heritage Railway,Originally named Sextus.,194,DJ34qta
1898,678,0-4-0ST,2 ft (610 mm),Dinorwic Quarry,Jonathan,Unknown (previously at Bala Lake Railway then West Lancashire Light Railway),,747,LhmVqs
1898,679,0-4-0ST,1 ft 11 1⁄2 in (597 mm),Dinorwic Quarry,Covercoat,Launceston Steam Railway,,649,FLtnib
1898,680,0-4-0ST,2 ft (610 mm),Dinorwic Quarry,George B,Bala Lake Railway,,75,2uRzZ
1898,684,0-4-0WT,18 in (457 mm),John Knowles Co.,Jack,"Armley Mills Industrial Museum, Leeds",,10,CDMTHXc
1899,705,0-4-0ST,2 ft (610 mm),Penrhyn Quarry,Elin,Yaxham Light Railway,Previously at the Lincolnshire Coast Light Railway.,936,7hASNLfp
1899,707,0-4-0ST,1 ft 11 1⁄2 in (597 mm),Pen-yr-orsedd Quarry,Britomart,Ffestiniog Railway,,580,lS1FIk
