#,Title,Directed by,Written by,Original air date,Productioncode
1,"\Pilot\""""",Michael Dinner,Peter Elkoff,"June 14, 2004",1AJE01
2,"\Tessa\""""",Patrick Norris,Liz Heldens,"June 21, 2004",1AJE02
3,"\Surprise Party\""""",James Marshall,Kevin Falls & Matt McGuinness,"June 28, 2004",1AJE03
4,"\Meteor Shower\""""",Craig Zisk,Kevin Falls & Matt McGuinness,"July 5, 2004",1AJE04
5,"\My Boyfriend's Back\""""",David Straiton,Dana Baratta,"July 12, 2004",1AJE05
6,"\Secret Service\""""",David Grossman,Jeff Rake,"July 19, 2004",1AJE06
7,"\More\""""",Michael Fresco,Liz Heldens,"August 2, 2004",1AJE07
8,"\Burned\""""",Kevin Hooks,Karyn Usher,"August 9, 2004",1AJE08
9,"\Ties That Bind\""""",Patrick Norris,Gretchen J. Berg & Aaron Harberts,"September 6, 2004",1AJE09
10,"\Vice\""""",Kenneth Biller,Kenneth Biller,"September 13, 2004",1AJE10
11,"\Alexandra\""""",Steve Miner,Chris Brancato,"September 20, 2004",1AJE11
