Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,D,Phil Hill,"1–3, 5–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,D,Giancarlo Baghetti,"1, 3, 6–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,D,Ricardo Rodríguez,"1–3, 6–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,D,Lorenzo Bandini,"2, 6–7"
Scuderia Ferrari SpA SEFAC,Ferrari,156,Ferrari 178 1.5 V6,D,Willy Mairesse,"2–3, 7"
Team Lotus,Lotus-Climax,2524,Climax FWMV 1.5 V8,D,Jim Clark,All
Team Lotus,Lotus-Climax,2524,Climax FWMV 1.5 V8,D,Trevor Taylor,All
Cooper Car Company,Cooper-Climax,T60T55,Climax FWMV 1.5 V8Climax FPF 1.5 L4,D,Bruce McLaren,All
Cooper Car Company,Cooper-Climax,T60T55,Climax FWMV 1.5 V8Climax FPF 1.5 L4,D,Tony Maggs,All
Cooper Car Company,Cooper-Climax,T60T55,Climax FWMV 1.5 V8Climax FPF 1.5 L4,D,Timmy Mayer,8
