Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Dupont Team Zerex,Lotus-Climax,24,Climax FWMV 1.5 V8,D,Roger Penske,8
Hap Sharp,Cooper-Climax,T53,Climax FPF 1.5 L4,D,Hap Sharp,8
Jim Hall,Lotus-Climax,21,Climax FPF 1.5 L4,D,Jim Hall,8
John Mecom,Lotus-Climax,24,Climax FPF 1.5 L4,D,Rob Schroeder,8
Bruce Johnstone,BRM,P48/57,BRM P56 1.5 V8,D,Bruce Johnstone,9
Ernie Pieterse,Lotus-Climax,21,Climax FPF 1.5 L4,D,Ernie Pieterse,9
John Love,Cooper-Climax,T55,Climax FPF 1.5 L4,D,John Love,9
Neville Lederle,Lotus-Climax,21,Climax FPF 1.5 L4,D,Neville Lederle,9
Otello Nucci,LDS-Alfa Romeo,Mk 1,Alfa Romeo Giulietta 1.5 L4,D,Doug Serrurier,9
Mike Harris,Cooper-Alfa Romeo,T53,Alfa Romeo Giulietta 1.5 L4,D,Mike Harris,9
