Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Ecurie Maarsbergen,Emeryson-Climax,61,Climax FPF 1.5 L4,D,Wolfgang Seidel,1
Owen Racing Organisation,BRM,P57P48/57,BRM P56 1.5 V8,D,Graham Hill,All
Owen Racing Organisation,BRM,P57P48/57,BRM P56 1.5 V8,D,Richie Ginther,All
Bowmaker-Yeoman Racing Team,Lola-Climax,Mk 4,Climax FWMV 1.5 V8,D,John Surtees,All
Bowmaker-Yeoman Racing Team,Lola-Climax,Mk 4,Climax FWMV 1.5 V8,D,Roy Salvadori,"1–2, 4–9"
Ecurie Galloise,Cooper-Climax,T53,Climax FPF 1.5 L4,D,Jackie Lewis,"1–2, 4–6"
R.R.C. Walker Racing Team,Lotus-Climax,24,Climax FWMV 1.5 V8,D,Maurice Trintignant,"2–4, 6–8"
Scuderia SSS Republica di Venezia,Lotus-Climax,18/2124,Climax FPF 1.5 L4,D,Nino Vaccarella,"2, 7"
Scuderia SSS Republica di Venezia,Porsche,718,Porsche 547/3 1.5 F4,D,Nino Vaccarella,6
Ecurie Nationale Suisse,Lotus-Climax,21,Climax FPF 1.5 L4,D,Jo Siffert,2
