Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,D,Tony Shelly,7
Anglo-American Equipe,Cooper-Climax,T59,Climax FPF 1.5 L4,D,Ian Burgess,5–7
Ecurie Excelsior,Lotus-Climax,18,Climax FPF 1.5 L4,D,Jay Chamberlain,5–7
John Dalton,Lotus-Climax,18/21,Climax FPF 1.5 L4,D,Tony Shelly,5–6
Gilby Engineering,Gilby-BRM,62,BRM P56 1.5 V8,D,Keith Greene,6–7
Bernard Collomb,Cooper-Climax,T53,Climax FPF 1.5 L4,D,Bernard Collomb,6
Scuderia de Tomaso,De Tomaso,F1,De Tomaso 1.5 F8,D,Nasif Estéfano,7
Scuderia Settecolli,De Tomaso-OSCA,F1,OSCA 372 1.5 L4,D,Roberto Lippi,7
Gerry Ashmore,Lotus-Climax,18/21,Climax FPF 1.5 L4,D,Gerry Ashmore,7
Scuderia Jolly Club,Lotus-Climax,18,Climax FPF 1.5 L4,D,Ernesto Prinoth,7
