Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds,Dummy_Col_1,Random_Column_2
Brabham Racing Organisation,Lotus-Climax,24,Climax FWMV 1.5 V8,D,Jack Brabham,1–5,VpXDeEkJ,vOXBTsa6
Brabham Racing Organisation,Brabham-Climax,BT3,Climax FWMV 1.5 V8,D,Jack Brabham,"6, 8–9",cFWxfsw,NOeEsN
UDT Laystall Racing Team,Lotus-Climax,2418/21,Climax FWMV 1.5 V8Climax FPF 1.5 L4,D,Innes Ireland,"1–5, 7–9",ncSHW,lqKU6Ad
UDT Laystall Racing Team,Lotus-Climax,2418/21,Climax FWMV 1.5 V8Climax FPF 1.5 L4,D,Masten Gregory,"1, 5",VqOvJVhw,Xc1wJ
UDT Laystall Racing Team,Lotus-BRM,24,BRM P56 1.5 V8,D,Masten Gregory,"2–4, 7–8",nIXgz,8g5iE0KP
Porsche System Engineering,Porsche,804718,Porsche 753 1.5 F8Porsche 547/6 1.5 F4,D,Jo Bonnier,"1–2, 4–8",GFVFn,d14hmqQs
Porsche System Engineering,Porsche,804718,Porsche 753 1.5 F8Porsche 547/6 1.5 F4,D,Dan Gurney,"1–2, 5–8",XpMgNIlu,hadm54ML
Porsche System Engineering,Porsche,804718,Porsche 753 1.5 F8Porsche 547/6 1.5 F4,D,Phil Hill,8,raThoxR,rXoNQn
Ecurie Maarsbergen,Porsche,718787,Porsche 547/6 1.5 F4,D,Carel Godin de Beaufort,All,rNLXmI,9QhLa
Ecurie Maarsbergen,Porsche,718787,Porsche 547/6 1.5 F4,D,Ben Pon,1,VpXReU,hL9vjho
