Pos.,Div.,No.,Team,Drivers,Car,Laps,Qual.Pos.
DNF,1,17,Shell Ultra Hi Racing,Dick Johnson John Bowe,Ford Sierra RS500,123,5
DNF,2,52,M3 Motorsport,Peter Doulman John Cotter,BMW M3,109,22
DNF,3,75,Bob Holden Motors,Dennis Rogers Garry Jones,Toyota Corolla,75,31
DNF,1,21,Bob Forbes Motorsport,Mark Gibbs Rohan Onslow,Holden VL Commodore SS Group A SV,64,8
DNF,1,19,Caltex CXT Racing,Ken Mathews John Mathews,Ford Sierra RS500,64,27
DNF,1,22,Lusty Engineering,Graham Lusty Ken Lusty,Holden VL Commodore SS Group A SV,52,21
DNF,1,1,Nissan Motorsport Australia,Jim Richards Mark Skaife,Nissan Skyline R32 GT-R,51,1
DNF,1,29,Wayne Park,Wayne Park John English,Holden VL Commodore SS Group A SV,49,19
DNF,3,74,Bob Holden Motors,Phil Alexander Keith McCulloch,Toyota Corolla,44,33
DNF,1,46,Garry Willmington Performance,Garry Willmington John Bourke,Toyota Supra Turbo,24,18
DNF,1,23,Chris Lambden,Chris Lambden Des Wall,Nissan Skyline HR31 GTS-R,18,17
DNF,3,73,Bob Holden Motors,Bob Holden Mike Conway,Toyota Sprinter,8,35
