Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
France,TRS-2230/15 Tiger,Air surv radar,1984-1985,6
France,Volex,Air surv radar,1981-1983,5
France,AM-39 Exocet,Anti-ship missile,1979-1988,352
France,ARMAT,Anti-radar missile,1986-1990,450
France,AS-30L,ASM,1986-1990,240
France,HOT,Anti-tank missile,1981-1982,1000
France,R-550 Magic-1,SRAAM,1981-1985,534
France,Roland-2,SAM,1981-1990,2260
France,Super 530F,BVRAAM,1981-1985,300
West Germany,BK-117,Helicopter,1984-1989,22
West Germany,Bo-105C,Light Helicopter,1979-1982,20
West Germany,Bo-105L,Light Helicopter,1988,6
