Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered,Unused_1,Random_Column_2
China,Type-83 152mm,Towed gun,1988-1989,50,,9l4aCx
China,W-653/Type-653,ARV,1986-1987,25,,kCTz4i5t
China,WZ-120/Type-59,Tank,1982-1987,1000,,SbGQFUos
China,WZ-121/Type 69,Tank,1983-1987,1500,,MP1LQ9b
China,YW-531/Type-63,APC,1982-1988,650,,MWejw15
China,CEIEC-408C,Air surv radar,1986-1988,5,,CsDjL
China,HN-5A,Portable SAM,1986-1987,1000,,nis1CZxU
China,HY-2/SY1A/CSS-N-2,Anti-ship missile,1987-1988,200,,LhlWv
Czechoslovakia,L-39Z Albatross,Trainer/combat aircraft,1976-1985,59,,XKwf57q
Czechoslovakia,BMP-1,Infantry fighting vehicle,1981-1987,750,,QznpwGa
Czechoslovakia,BMP-2,Infantry fighting vehicle,1987-1989,250,,OIUhG
Czechoslovakia,OT-64C,APC,1981,200,,i9aMVF
