Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered,Noise_Field_1,Noise_Field_2,Irrelevant_3
Austria,GHN-45 155mm,Towed Gun,1983,200,XkaKPoE,slEeBq,pIe9CUR
Brazil,EMB-312 Tucano,Trainer aircraft,1985-1988,80,jQPPFrBQ,CFfTEAPe,jjuop
Brazil,Astros II MLRS,Multiple rocket launcher,1984-1988,67,VMqDa,ZgSgCgR,9Sg5JeU
Brazil,EE-11 Urutu,APC,1983-1984,350,FhYbG,MKIBV,A37bdNFF
Brazil,EE-3 Jararaca,Recon vehicle,1984-1985,280,SHGNX,ZBZvg,yQ7Cvmrg
Brazil,EE-9 Cascavel,Armoured car,1980-1989,1026,mYFLxqRW,yOdPMQCT,uNcAhw
Brazil,Astros AV-UCF,Fire control radar,1984-1988,13,qddseD,wsZkIDq,dMsdNU
Canada,PT-6,Turboprop,1980-1990,152,SjnnJBc,HSGOBs,xEaHh
China,Xian H-6,Bomber aircraft,1988,4,mCyHidvm,PgYZAfkg,e7Morl
China,F-6,Fighter aircraft,1982-1983,40,HJLmZvk,ncjMSLL,bXBiGT
China,F-7A,Fighter aircraft,1983-1987,80,swVFxma,ALCFllc,TthhU4po
China,Type-63 107mm,Multiple rocket launcher,1984-1988,100,goxVeqKD,anVIBf,4QeCJel
