Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
Soviet Union,9P117/SS-1 Scud TEL,SSM launcher,1983-1984,10
Soviet Union,BM-21 Grad 122mm,Multiple rocket launcher,1983-1988,560
Soviet Union,D-30 122mm,Towed gun,1982-1988,576
Soviet Union,M-240 240mm,Mortar,1981,25
Soviet Union,M-46 130mm,Towed Gun,1982-1987,576
Soviet Union,9K35 Strela-10/SA-13,AAV(M),1985,30
Soviet Union,BMD-1,IFV,1981,10
Soviet Union,PT-76,Light tank,1984,200
Soviet Union,SA-9/9P31,AAV(M),1982-1985,160
Soviet Union,Long Track,Air surv radar,1980-1984,10
Soviet Union,SA-8b/9K33M Osa AK,Mobile SAM system,1982-1985,50
Soviet Union,Thin Skin,Air surv radar,1980-1984,5
