Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
Soviet Union,9M111/AT-4 Spigot,Anti-tank missile,1986-1989,3000
Soviet Union,9M37/SA-13 Gopher,SAM,1985-1986,960
Soviet Union,KSR-5/AS-6 Kingfish,Anti-ship missile,1984,36
Soviet Union,Kh-28/AS-9 Kyle,Anti-radar missile,1983-1988,250
Soviet Union,R-13S/AA2S Atoll,SRAAM,1984-1987,1080
Soviet Union,R-17/SS-1c Scud-B,SSM,1982-1988,840
Soviet Union,R-27/AA-10 Alamo,BVRAAM,1986-1989,246
Soviet Union,R-40R/AA-6 Acrid,BVRAAM,1980-1985,660
Soviet Union,R-60/AA-8 Aphid,SRAAM,1986-1989,582
Soviet Union,SA-8b Gecko/9M33M,SAM,1982-1985,1290
Soviet Union,SA-9 Gaskin/9M31,SAM,1982-1985,1920
Soviet Union,Strela-3/SA-14 Gremlin,Portable SAM,1987-1988,500
