Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
Czechoslovakia,T-55,Tank,1982-1985,400
Denmark,Al Zahraa,Landing ship,1983,3
East Germany,T-55,Tank,1981,50
Egypt,D-30 122mm,Towed gun,1985-1989,210
Egypt,M-46 130mm,Towed gun,1981-1983,96
Egypt,RL-21 122mm,Multiple rocket launcher,1987-1989,300
Egypt,T-55,Tank,1981-1983,300
Egypt,Walid,APC,1980,100
France,Mirage F-1C,Fighter aircraft,1982-1990,72
France,Mirage F-1E,FGA aircraft,1980-1982,36
France,SA-312H Super Frelon,Helicopter,1981,6
France,SA-330 Puma,Helicopter,1980-1981,20
