Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered,Dummy_Col_1
France,SA-342K/L Gazelle,Light helicopter,1980-1988,38,xEMAcIM
France,Super Etendard,FGA aircraft,1983,5,Fmqiz
France,AMX-GCT/AU-F1,Self-propelled gun,1983-1985,85,Rtdfzj
France,AMX-10P,Infantry fighting vehicle,1981-1982,100,EqiLynFj
France,AMX-30D,ARV,1981,5,NzdMLXdm
France,ERC-90,Armoured car,1980-1984,200,WRCOIPj
France,M-3 VTT,APC,1983-1984,115,bsDCvGU
France,VCR-TH,Tank destroyer,1979-1981,100,naxUznVx
France,Rasit,Ground surv radar,1985,2,fpNGI
France,Roland,Mobile SAM system,1982-1985,113,akJrrkFr
France,TRS-2100 Tiger,Air surv radar,1988,1,LxEBy
France,TRS-2105/6 Tiger-G,Air surv radar,1986-1989,5,FPlaLtwx
