Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
Soviet Union,Mi-8TV/Hip-F,Transport helicopter,1984,30
Soviet Union,Mig-21bis/Fishbed-N,Fighter aircraft,1983-1984,61
Soviet Union,Mig-23BN/Flogger-H,FGA aircraft,1984-1985,50
Soviet Union,Mig-25P/Foxbat-A,Interceptor aircraft,1980-1985,55
Soviet Union,Mig-25RB/Foxbat-B,Recon aircraft,1982,8
Soviet Union,Mig-29/Fulcrum-A,Fighter aircraft,1986-1989,41
Soviet Union,Su-22/Fitter-H/J/K,FGA aircraft,1986-1987,61
Soviet Union,Su-25/Frogfoot-A,Ground attack aircraft,1986-1987,84
Soviet Union,2A36 152mm,Towed gun,1986-1988,180
Soviet Union,2S1 122mm,Self-Propelled Howitzer,1980-1989,150
Soviet Union,2S3 152mm,Self-propelled gun,1980-1989,150
Soviet Union,2S4 240mm,Self-propelled mortar,1983,10
