Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
Switzerland,PC-7 Turbo trainer,Trainer aircraft,1980-1983,52
Switzerland,PC-9,Trainer aircraft,1987-1990,20
Switzerland,Roland,APC/IFV,1981,100
United Kingdom,Chieftain/ARV,ARV,1982,29
United Kingdom,Cymbeline,Arty locating radar,1986-1988,10
United States,MD-500MD Defender,Light Helicopter,1983,30
United States,Hughes-300/TH-55,Light Helicopter,1983,30
United States,MD-530F,Light Helicopter,1986,26
United States,Bell 214ST,Helicopter,1988,31
Soviet Union,Il-76M/Candid-B,Strategic airlifter,1978-1984,33
Soviet Union,Mi-24D/Mi-25/Hind-D,Attack helicopter,1978-1984,12
Soviet Union,Mi-8/Mi-17/Hip-H,Transport helicopter,1986-1987,37
