Country,Weapon designation,Weapon description,Year(s) delivered,Quantity delivered
Hungary,PSZH-D-994,APC,1981,300
Italy,A-109 Hirundo,Light Helicopter,1982,2
Italy,S-61,Helicopter,1982,6
Italy,Stromboli class,Support ship,1981,1
Jordan,S-76 Spirit,Helicopter,1985,2
Poland,Mi-2/Hoplite,Helicopter,1984-1985,15
Poland,MT-LB,APC,1983-1990,750
Poland,T-55,Tank,1981-1982,400
Poland,T-72M1,Tank,1982-1990,500
Romania,T-55,Tank,1982-1984,150
Yugoslavia,M-87 Orkan 262mm,Multiple rocket launcher,1988,2
South Africa,G-5 155mm,Towed gun,1985-1988,200
