Stage,Date,Route,Terrain,Length,Winner
P,1 July,Fontenay-sous-Bois,Individual time trial,6 km (3.7 mi),Eric Vanderaerden (BEL)
1,2 July,Nogent-sur-Marne – Créteil,Plain stage,163 km (101 mi),Frits Pirard (NED)
2,3 July,Soissons – Fontaine-au-Pire,Team time trial,100 km (62 mi),Mercier
3,4 July,Valenciennes – Roubaix,Hilly stage,152 km (94 mi),Rudy Matthijs (BEL)
4,5 July,Roubaix – Le Havre,Plain stage,300 km (190 mi),Serge Demierre (SUI)
5,6 July,Le Havre – Le Mans,Plain stage,257 km (160 mi),Dominique Gaigne (FRA)
6,7 July,Châteaubriant – Nantes,Individual time trial,58 km (36 mi),Bert Oosterbosch (NED)
7,8 July,Nantes – Île d'Oléron,Plain stage,216 km (134 mi),Riccardo Magrini (ITA)
8,9 July,La Rochelle – Bordeaux,Plain stage,222 km (138 mi),Bert Oosterbosch (NED)
9,10 July,Bordeaux – Pau,Plain stage,207 km (129 mi),Philippe Chevallier (FRA)
10,11 July,Pau – Bagnères-de-Luchon,Stage with mountain(s),201 km (125 mi),Robert Millar (GBR)
11,12 July,Bagnères-de-Luchon – Fleurance,Plain stage,177 km (110 mi),Régis Clère (FRA)
