#,Date,Venue,Opponents,Score,Comp,Denmark scorers
204,1956-10-03,"Dalymount Park, Dublin (A)",Republic of Ireland,1-2,WCQ,Aage Rou Jensen
205,1956-10-21,"Råsunda Stadium, Stockholm (A)",Sweden,1-1,NC,Jens Peter Hansen
206,1956-11-04,"Idrætsparken, Copenhagen (H)",Netherlands,2-2,F,"Jørgen Olesen, Knud Lundberg"
207,1956-12-05,"Molineux, Wolverhampton (A)",England,2-5,WCQ,Ove Bech Nielsen (2)
208,1957-05-15,"Idrætsparken, Copenhagen (H)",England,1-4,WCQ,John Jensen
209,1957-05-26,"Idrætsparken, Copenhagen (H)",Bulgaria,1-1,F,Aage Rou Jensen
210,1957-06-18,"Olympic Stadium, Helsinki (A)",Finland,0-2,OT,
211,1957-06-19,"Tammela Stadion, Tampere (N)",Norway,2-0,OT,"Egon Jensen, Jørgen Hansen"
212,1957-06-30,"Idrætsparken, Copenhagen (H)",Sweden,1-2,NC,Jens Peter Hansen
213,1957-07-10,"Laugardalsvöllur, Reykjavík (A)",Iceland,6-2,OT,"Egon Jensen (3), Poul Pedersen, Jens Peter Hansen (2)"
