#,Date,Venue,Opponents,Score,Comp,Denmark scorers
162,1950-05-28,"JNA Stadium, Belgrade (A)",Yugoslavia,1-5,F,Axel Pilmark
163,1950-06-22,"Idrætsparken, Copenhagen (H)",Norway,4-0,NC,"Poul Erik \Popper\"" Petersen"
164,1950-06-25,"Aarhus Stadion, Aarhus (H)",Norway,1-4,NC,Aage Rou Jensen
165,1950-08-27,"Olympic Stadium, Helsinki (A)",Finland,2-1,NC,"Poul Erik \Popper\"" Petersen"
166,1950-09-10,"Idrætsparken, Copenhagen (H)",Yugoslavia,1-4,F,Edwin Hansen
167,1950-10-15,"Råsunda Stadium, Stockholm (A)",Sweden,0-4,NC,
168,1950-11-05,"Prater Stadium, Vienna (A)",Austria,1-5,F,Erik Kuld Jensen
169,1951-05-12,"Hampden Park, Glasgow (A)",Scotland,1-3,F,Jørgen W. Hansen
170,1951-06-17,"Idrætsparken, Copenhagen (H)",Austria,3-3,F,"Aage Rou Jensen (2), Knud Lundberg"
171,1951-09-16,"Ullevaal Stadion, Oslo (A)",Norway,0-2,NC,
172,1951-09-30,"Idrætsparken, Copenhagen (H)",Finland,1-0,NC,Hilmar Staalgaard
