#,Date,Venue,Opponents,Score,Comp,Denmark scorers,Random_Column_1,Extra_Data_2,Noise_Field_3
224,1959-06-21,"Idrætsparken, Copenhagen (H)",Sweden,0-6,NC,,GzmQ54i,505,yamhLD
225,1959-06-26,"Laugardalsvöllur, Reykjavík (A)",Iceland,4-2,OGQ,"Jens Peter Hansen (2), Ole Madsen (2)",6HXdrc0D,709,XuikKYj
226,1959-07-02,"Idrætsparken, Copenhagen (H)",Norway,2-1,OGQ,"Henning Enoksen, Ole Madsen",JAgzxuK,252,hNmUU
227,1959-08-18,"Idrætsparken, Copenhagen (H)",Iceland,1-1,OGQ,Henning Enoksen,dljqmjRJ,217,ezhjjs
228,1959-09-13,"Ullevaal Stadion, Oslo (A)",Norway,4-2,OGQNC,"Harald Nielsen, Henning Enoksen (2), Poul Pedersen",XkIIJ,811,AAdzhA
229,1959-09-23,"Idrætsparken, Copenhagen (H)",Czechoslovakia,2-2,ENQ,"Poul Pedersen, Bent Hansen",SYjbTSX,461,BsJRB
230,1959-10-04,"Idrætsparken, Copenhagen (H)",Finland,4-0,NC,"Harald Nielsen (3), John Kramer",R6aMUEEl,223,aVWEKfLA
231,1959-10-18,"Stadion Za Lužánkami, Brno (A)",Czechoslovakia,1-5,ENQ,John Kramer,rdUIi47L,58,HKeOSYxQ
232,1959-12-02,"Olympic Stadium, Athens (A)",Greece,3-1,F,"Henning Enoksen (2), Poul Pedersen",PjRrzU9m,236,sYwOR
233,1959-12-06,"Vasil Levski National Stadium, Sofia (A)",Bulgaria,1-2,F,Henning Enoksen,pgDw1DlD,487,BGadu
