#,Date,Venue,Opponents,Score,Comp,Denmark scorers
194,1955-05-15,"Idrætsparken, Copenhagen (H)",Hungary,0-6,F,
195,1955-06-19,"Idrætsparken, Copenhagen (H)",Finland,2-1,NC,Jens Peter Hansen (2)
196,1955-06-03,"Melavollur, Reykjavík (A)",Iceland,4-0,F,"Aage Rou Jensen, Jens Peter Hansen, Poul Pedersen (2)"
197,1955-09-11,"Ullevaal Stadion, Oslo (A)",Norway,1-1,NC,Jørgen Jacobsen
198,1955-10-02,"Idrætsparken, Copenhagen (H)",England,1-5,NC,Knud Lundberg
199,1955-10-16,"Idrætsparken, Copenhagen (H)",Sweden,3-3,NC,"Ove Andersen (2), Knud Lundberg"
200,1956-05-23,"Dynamo Stadium, Moscow (A)",USSR,1-5,F,Knud Lundberg
201,1956-06-24,"Idrætsparken, Copenhagen (H)",Norway,2-3,NC,"Knud Lundberg, Poul Pedersen"
202,1956-07-01,"Idrætsparken, Copenhagen (H)",USSR,2-5,F,"Ove Andersen, Aage Rou Jensen"
203,1956-09-16,"Olympic Stadium, Helsinki (A)",Finland,4-0,NC,"Poul Pedersen, Jørgen Hansen, Ove Andersen (2)"
