#,Date,Venue,Opponents,Score,Comp,Denmark scorers
173,1951-10-21,"Idrætsparken, Copenhagen (H)",Sweden,3-1,NC,"Poul \Rassi\"" Rasmussen"
174,1952-05-25,"Idrætsparken, Copenhagen (H)",Scotland,1-2,F,"Poul \Rassi\"" Rasmussen"""
175,1952-06-11,"Bislett Stadium, Oslo (N)",Sweden,0-2,OT,
176,1952-06-22,"Råsunda Stadium, Stockholm (A)",Sweden,3-4,NC,"Poul \Rassi\"" Rasmussen"
177,1952-07-15,"Tammela Stadion, Tampere (N)",Greece,2-1,OG,"Poul Erik \Popper\"" Petersen"
178,1952-07-21,"Kupittaa Stadion, Turku (N)",Poland,2-0,OG,"Holger Seebach, Svend \Boston\"" Nielsen"""
179,1952-07-25,"Pallokenttä, Helsinki (N)",Yugoslavia,3-5,OG,"Knud Lundberg, Holger Seebach, Jens Peter Hansen"
180,1952-09-21,"Idrætsparken, Copenhagen (H)",Netherlands,3-2,F,"Kurt \Nikkelaj\"" Nielsen"
181,1952-10-05,"Olympic Stadium, Helsinki (A)",Finland,1-2,NC,Per Jensen
182,1952-10-19,"Idrætsparken, Copenhagen (H)",Norway,1-3,NC,Per Jensen
183,1953-06-21,"Idrætsparken, Copenhagen (H)",Sweden,1-3,NC,Holger Seebach
