interval name,size (steps),size (cents),midi,just ratio,just (cents),midi,error,Unused_1
septendecimal supermajor third,27,450,play (help·info),22:17,446.36,,+3.64,
septimal major third,26,433.33,play (help·info),9:7,435.08,play (help·info),−1.75,
undecimal major third,25,416.67,play (help·info),14:11,417.51,play (help·info),−0.84,
major third,23,383.33,play (help·info),5:4,386.31,play (help·info),−2.98,
tridecimal neutral third,22,366.67,play (help·info),16:13,359.47,,+7.19,
neutral third,21,350,play (help·info),11:9,347.41,play (help·info),+2.59,
septendecimal supraminor third,20,333.33,,17:14,336.13,,−2.80,
minor third,19,316.67,play (help·info),6:5,315.64,play (help·info),+1.03,
tridecimal minor third,17,283.33,play (help·info),13:11,289.21,play (help·info),−5.88,
septimal minor third,16,266.67,play (help·info),7:6,266.87,play (help·info),−0.20,
