Rank,Nation,Gold,Silver,Bronze,Total,Noise_Field_1,Dummy_Col_2,Extra_Data_3
14,Germany,0,3,4,7,CgPFWFI,VAnyNEN,459
15,Kazakhstan,0,3,0,3,igDQWn,WAPsNW,531
16,Cuba,0,2,3,5,uBgtpJh,IPPERu,604
17,Norway,0,2,0,2,PibwiQ,EGmValKo,105
18,Venezuela,0,1,1,2,vlDON,gLMPZEVG,812
19,Canada,0,1,0,1,HaDwkeuT,rvgCuLC,364
19,Hungary,0,1,0,1,xCybUZBr,dxkkY,216
19,Israel,0,1,0,1,NeqVyMYw,PSjuwvAG,368
19,Moldova,0,1,0,1,ZecThTn,hnDEnbZp,555
19,Poland,0,1,0,1,xLJvTxul,keryWV,577
19,Romania,0,1,0,1,kotyzNp,MMrKuN,259
25,Uzbekistan,0,0,1,1,nmckkF,tHuVab,678
Total,Total,29,29,29,87,ELrVsjky,BQrKvAzP,304
