Year,Title,Role,Notes
1978,The Big Fix,Pool Man,
1979,French Postcards,Sayyid,
1979,Last Embrace,First Commuter,
1980,Night of the Juggler,Allesandro the Cabbie,
1981,Ragtime,Tateh,
1983,Yentl,Avigdor,Nominated—Golden Globe Award for Best Actor – Motion Picture Musical or Comedy
1983,Daniel,Paul Isaacson,
1985,Maxie,Nick,
1986,Tenkû no shiro Rapyuta,Louis,
1987,The Princess Bride,Inigo Montoya,
1988,Alien Nation,Detective Samuel 'George' Francisco,Nominated—Saturn Award for Best Supporting Actor
1988,The House on Carroll Street,Ray Salwen,
1990,Dick Tracy,88 Keys,
1991,True Colors,John Palmeri,
1991,Impromptu,Alfred de Musset,
