Year,Title,Role,Notes,Unused_1
1991,The Doctor,Dr. Murray Kaplan,,
1993,The Music of Chance,Jim Nashe,,
1993,Life with Mikey,Irate Man,,
1994,Squanto: A Warrior's Tale,Brother Daniel,,
1998,Lulu On The Bridge,Philip Kleinman,,
1998,Men with Guns,Andrew,,
1999,The Adventures of Elmo in Grouchland,Huxley,,
2001,Piñero,Joseph Papp,,
2002,Run Ronnie Run,Himself,,
2003,Celebrity Train Layouts: Mandy Patinkin,Himself,,
2005,The Choking Man,Rick,,
2006,Everyone's Hero,Stanley Irving,,
2010,4.3.2.1 ... The Countdown Begins,Jago L,,
2014,Wish I Was Here,Saul Bloom,,
